id,kind,target,arg1,arg2,expected
Q0001,QUOTE,STD,2026-01-02,2026-01-03,nights=1;total=115.80
Q0002,QUOTE,DLX,2026-01-05,2026-01-07,nights=2;total=328.60
Q0003,QUOTE,SUI,2026-01-08,2026-01-11,nights=3;total=821.40
Q0004,QUOTE,STD,2026-01-11,2026-01-15,nights=4;total=418.20
Q0005,QUOTE,DLX,2026-01-14,2026-01-19,nights=5;total=799.00
Q0006,QUOTE,SUI,2026-01-17,2026-01-23,nights=6;total=1627.80
Q0007,QUOTE,STD,2026-01-20,2026-01-27,nights=7;total=720.60
Q0008,QUOTE,DLX,2026-01-23,2026-02-01,nights=9;total=1426.20
Q0009,QUOTE,SUI,2026-01-26,2026-02-06,nights=11;total=2971.80
Q0010,QUOTE,STD,2026-01-29,2026-02-12,nights=14;total=1426.20
Q0011,QUOTE,DLX,2026-02-01,2026-02-02,nights=1;total=171.80
Q0012,QUOTE,SUI,2026-02-04,2026-02-06,nights=2;total=552.60
Q0013,QUOTE,STD,2026-02-07,2026-02-10,nights=3;total=317.40
Q0014,QUOTE,DLX,2026-02-10,2026-02-14,nights=4;total=642.20
Q0015,QUOTE,SUI,2026-02-13,2026-02-18,nights=5;total=1359.00
Q0016,QUOTE,STD,2026-02-16,2026-02-22,nights=6;total=619.80
Q0017,QUOTE,DLX,2026-02-19,2026-02-26,nights=7;total=1112.60
Q0018,QUOTE,SUI,2026-02-22,2026-03-03,nights=9;total=2434.20
Q0019,QUOTE,STD,2026-02-25,2026-03-08,nights=11;total=1123.80
Q0020,QUOTE,DLX,2026-02-28,2026-03-14,nights=14;total=2210.20
Q0021,QUOTE,SUI,2026-03-03,2026-03-04,nights=1;total=283.80
Q0022,QUOTE,STD,2026-03-06,2026-03-08,nights=2;total=216.60
Q0023,QUOTE,DLX,2026-03-09,2026-03-12,nights=3;total=485.40
Q0024,QUOTE,SUI,2026-03-12,2026-03-16,nights=4;total=1090.20
Q0025,QUOTE,STD,2026-03-15,2026-03-20,nights=5;total=519.00
Q0026,QUOTE,DLX,2026-03-18,2026-03-24,nights=6;total=955.80
Q0027,QUOTE,SUI,2026-03-21,2026-03-28,nights=7;total=1896.60
Q0028,QUOTE,STD,2026-03-24,2026-04-02,nights=9;total=922.20
Q0029,QUOTE,DLX,2026-03-27,2026-04-07,nights=11;total=1739.80
Q0030,QUOTE,SUI,2026-03-30,2026-04-13,nights=14;total=3778.20
Q0031,QUOTE,STD,2026-04-02,2026-04-03,nights=1;total=115.80
Q0032,QUOTE,DLX,2026-04-05,2026-04-07,nights=2;total=328.60
Q0033,QUOTE,SUI,2026-04-08,2026-04-11,nights=3;total=821.40
Q0034,QUOTE,STD,2026-04-11,2026-04-15,nights=4;total=418.20
Q0035,QUOTE,DLX,2026-04-14,2026-04-19,nights=5;total=799.00
Q0036,QUOTE,SUI,2026-04-17,2026-04-23,nights=6;total=1627.80
Q0037,QUOTE,STD,2026-04-20,2026-04-27,nights=7;total=720.60
Q0038,QUOTE,DLX,2026-04-23,2026-05-02,nights=9;total=1426.20
Q0039,QUOTE,SUI,2026-04-26,2026-05-07,nights=11;total=2971.80
Q0040,QUOTE,STD,2026-04-29,2026-05-13,nights=14;total=1426.20
Q0041,QUOTE,DLX,2026-05-02,2026-05-03,nights=1;total=171.80
Q0042,QUOTE,SUI,2026-05-05,2026-05-07,nights=2;total=552.60
Q0043,QUOTE,STD,2026-05-08,2026-05-11,nights=3;total=317.40
Q0044,QUOTE,DLX,2026-05-11,2026-05-15,nights=4;total=642.20
Q0045,QUOTE,SUI,2026-05-14,2026-05-19,nights=5;total=1359.00
Q0046,QUOTE,STD,2026-05-17,2026-05-23,nights=6;total=619.80
Q0047,QUOTE,DLX,2026-05-20,2026-05-27,nights=7;total=1112.60
Q0048,QUOTE,SUI,2026-05-23,2026-06-01,nights=9;total=2434.20
Q0049,QUOTE,STD,2026-05-26,2026-06-06,nights=11;total=1431.80
Q0050,QUOTE,DLX,2026-05-29,2026-06-12,nights=14;total=3072.60
Q0051,QUOTE,SUI,2026-06-01,2026-06-02,nights=1;total=418.20
Q0052,QUOTE,STD,2026-06-04,2026-06-06,nights=2;total=339.80
Q0053,QUOTE,DLX,2026-06-07,2026-06-10,nights=3;total=720.60
Q0054,QUOTE,SUI,2026-06-10,2026-06-14,nights=4;total=1627.80
Q0055,QUOTE,STD,2026-06-13,2026-06-18,nights=5;total=827.00
Q0056,QUOTE,DLX,2026-06-16,2026-06-22,nights=6;total=1426.20
Q0057,QUOTE,SUI,2026-06-19,2026-06-26,nights=7;total=2837.40
Q0058,QUOTE,STD,2026-06-22,2026-07-01,nights=9;total=1476.60
Q0059,QUOTE,DLX,2026-06-25,2026-07-06,nights=11;total=2602.20
